GWH ID	Wu ID	IHSM SDB ID
GWHTABKE000001	Yangtao2018752	Aveca01vR1g00010.1
GWHTABKE000002	Yangtao2018751	Aveca01vR1g00020.1
GWHTABKE000003	Yangtao2018750	Aveca01vR1g00030.1
GWHTABKE000004	Yangtao2018749	Aveca01vR1g00040.1
GWHTABKE000005	Yangtao2018748	Aveca01vR1g00050.1
GWHTABKE000006	Yangtao2018747	Aveca01vR1g00060.1
GWHTABKE000007	Yangtao2018746	Aveca01vR1g00070.1
GWHTABKE000008	Yangtao2018745	Aveca01vR1g00080.1
GWHTABKE000009	Yangtao2018744	Aveca01vR1g00090.1
GWHTABKE000010	Yangtao2018743	Aveca01vR1g00100.1
GWHTABKE000011	Yangtao2018742	Aveca01vR1g00110.1
GWHTABKE000012	Yangtao2018741	Aveca01vR1g00120.1
GWHTABKE000013	Yangtao2018740	Aveca01vR1g00130.1
GWHTABKE000014	Yangtao2018739	Aveca01vR1g00140.1
GWHTABKE000015	Yangtao2018738	Aveca01vR1g00150.1
GWHTABKE000016	Yangtao2018737	Aveca01vR1g00160.1
GWHTABKE000017	Yangtao2018736	Aveca01vR1g00170.1
GWHTABKE000018	Yangtao2018735	Aveca01vR1g00180.1
GWHTABKE000019	Yangtao2018734	Aveca01vR1g00190.1
GWHTABKE000020	Yangtao2018733	Aveca01vR1g00200.1
GWHTABKE000021	Yangtao2018732	Aveca01vR1g00210.1
GWHTABKE000022	Yangtao2018731	Aveca01vR1g00220.1
GWHTABKE000023	Yangtao2018730	Aveca01vR1g00230.1
GWHTABKE000024	Yangtao2018729	Aveca01vR1g00240.1
GWHTABKE000025	Yangtao2018728	Aveca01vR1g00250.1
GWHTABKE000026	Yangtao2018727	Aveca01vR1g00260.1
GWHTABKE000027	Yangtao2018726	Aveca01vR1g00270.1
GWHTABKE000028	Yangtao2018725	Aveca01vR1g00280.1
GWHTABKE000029	Yangtao2018724	Aveca01vR1g00290.1
GWHTABKE000030	Yangtao2018723	Aveca01vR1g00300.1
GWHTABKE000031	Yangtao2018722	Aveca01vR1g00310.1
GWHTABKE000032	Yangtao2018721	Aveca01vR1g00320.1
GWHTABKE000033	Yangtao2018720	Aveca01vR1g00330.1
GWHTABKE000034	Yangtao2018719	Aveca01vR1g00340.1
GWHTABKE000035	Yangtao2018718	Aveca01vR1g00350.1
GWHTABKE000036	Yangtao2018717	Aveca01vR1g00360.1
GWHTABKE000037	Yangtao2018716	Aveca01vR1g00370.1
GWHTABKE000038	Yangtao2018715	Aveca01vR1g00380.1
GWHTABKE000039	Yangtao2018714	Aveca01vR1g00390.1
GWHTABKE000040	Yangtao2018713	Aveca01vR1g00400.1
GWHTABKE000041	Yangtao2018712	Aveca01vR1g00410.1
GWHTABKE000042	Yangtao2018711	Aveca01vR1g00420.1
GWHTABKE000043	Yangtao2018710	Aveca01vR1g00430.1
GWHTABKE000044	Yangtao2018709	Aveca01vR1g00440.1
GWHTABKE000045	Yangtao2018708	Aveca01vR1g00450.1
GWHTABKE000046	Yangtao2018707	Aveca01vR1g00460.1
GWHTABKE000047	Yangtao2018706	Aveca01vR1g00470.1
GWHTABKE000048	Yangtao2018705	Aveca01vR1g00480.1
GWHTABKE000049	Yangtao2018704	Aveca01vR1g00490.1
GWHTABKE000050	Yangtao2018703	Aveca01vR1g00500.1
GWHTABKE000051	Yangtao2018702	Aveca01vR1g00510.1
GWHTABKE000052	Yangtao2018701	Aveca01vR1g00520.1
GWHTABKE000053	Yangtao2018700	Aveca01vR1g00530.1
GWHTABKE000054	Yangtao2018699	Aveca01vR1g00540.1
GWHTABKE000055	Yangtao2018698	Aveca01vR1g00550.1
GWHTABKE000056	Yangtao2018697	Aveca01vR1g00560.1
GWHTABKE000057	Yangtao2018696	Aveca01vR1g00570.1
GWHTABKE000058	Yangtao2018695	Aveca01vR1g00580.1
GWHTABKE000059	Yangtao2018694	Aveca01vR1g00590.1
GWHTABKE000060	Yangtao2018693	Aveca01vR1g00600.1
GWHTABKE000061	Yangtao2018692	Aveca01vR1g00610.1
GWHTABKE000062	Yangtao2018691	Aveca01vR1g00620.1
GWHTABKE000063	Yangtao2018690	Aveca01vR1g00630.1
GWHTABKE000064	Yangtao2018689	Aveca01vR1g00640.1
GWHTABKE000065	Yangtao2018688	Aveca01vR1g00650.1
GWHTABKE000066	Yangtao2018687	Aveca01vR1g00660.1
GWHTABKE000067	Yangtao2018686	Aveca01vR1g00670.1
GWHTABKE000068	Yangtao2018685	Aveca01vR1g00680.1
GWHTABKE000069	Yangtao2018684	Aveca01vR1g00690.1
GWHTABKE000070	Yangtao2018683	Aveca01vR1g00700.1
GWHTABKE000071	Yangtao2018682	Aveca01vR1g00710.1
GWHTABKE000072	Yangtao2018681	Aveca01vR1g00720.1
GWHTABKE000073	Yangtao2018680	Aveca01vR1g00730.1
GWHTABKE000074	Yangtao2018679	Aveca01vR1g00740.1
GWHTABKE000075	Yangtao2018678	Aveca01vR1g00750.1
GWHTABKE000076	Yangtao2018677	Aveca01vR1g00760.1
GWHTABKE000077	Yangtao2018676	Aveca01vR1g00770.1
GWHTABKE000078	Yangtao2018675	Aveca01vR1g00780.1
GWHTABKE000079	Yangtao2018674	Aveca01vR1g00790.1
